timestamp,image_idx,latitude,longitude,altitude
09-00-31-289685,0000000,17.4962518306,78.4156015873,485.792053223
09-00-31-351936,0000001,17.4962517807,78.4156015568,485.788848877
09-00-31-417976,0000002,17.4962517504,78.4156015368,485.783874512
09-00-31-485167,0000003,17.4962517367,78.415601524,485.786102295
09-00-31-556803,0000004,17.4962516821,78.4156014908,485.782440186
09-00-31-618245,0000005,17.4962516687,78.415601439,485.778106689
09-00-31-686097,0000006,17.4962516537,78.4156014234,485.780517578
09-00-31-750986,0000007,17.4962516067,78.4156014008,485.773498535
09-00-31-817770,0000008,17.4962515964,78.415601392,485.774291992
09-00-31-885020,0000009,17.4962515808,78.4156013764,485.771179199
09-00-31-952792,0000010,17.4962515539,78.4156013422,485.770263672
09-00-32-022838,0000011,17.4962515728,78.4156013346,485.768066406
09-00-32-084881,0000012,17.4962515589,78.4156013179,485.770172119
09-00-32-151987,0000013,17.4962515627,78.4156012651,485.76864624
09-00-32-222656,0000014,17.4962515371,78.4156012363,485.765563965
09-00-32-285213,0000015,17.4962515242,78.4156012178,485.766967773
09-00-32-350951,0000016,17.496251509,78.4156011455,485.759857178
09-00-32-423345,0000017,17.4962514679,78.4156011174,485.761260986
09-00-32-485818,0000018,17.4962514539,78.4156010961,485.758148193
09-00-32-554830,0000019,17.4962514317,78.4156010774,485.756713867
09-00-32-623488,0000020,17.4962513918,78.4156010576,485.752990723
09-00-32-686716,0000021,17.4962513766,78.4156010359,485.754089355
09-00-32-752295,0000022,17.4962513499,78.415601035,485.750427246
09-00-32-824581,0000023,17.4962513134,78.4156010203,485.745788574
09-00-32-886467,0000024,17.4962512974,78.4156010001,485.747070312
09-00-32-952091,0000025,17.4962512772,78.4156010433,485.740509033
09-00-33-022765,0000026,17.4962512529,78.4156010803,485.743255615
09-00-33-085078,0000027,17.4962512198,78.4156010486,485.742095947
09-00-33-154978,0000028,17.4962512185,78.4156010926,485.739105225
09-00-33-225535,0000029,17.4962511848,78.4156011305,485.736328125
09-00-33-292530,0000030,17.4962511609,78.4156011612,485.735137939
09-00-33-360075,0000031,17.496251144,78.4156011516,485.737548828
09-00-33-427306,0000032,17.4962511822,78.4156011956,485.735198975
09-00-33-492304,0000033,17.4962511685,78.4156011883,485.73739624
09-00-33-552159,0000034,17.4962511017,78.4156011661,485.731384277
09-00-33-620429,0000035,17.4962510868,78.4156011565,485.73348999
09-00-33-687978,0000036,17.4962511026,78.4156012083,485.733764648
09-00-33-756185,0000037,17.496251088,78.4156012028,485.730651855
09-00-33-826894,0000038,17.4962511494,78.4156012274,485.729766846
09-00-33-892136,0000039,17.4962511272,78.4156012342,485.731384277
09-00-33-956576,0000040,17.4962511187,78.4156012314,485.733459473
09-00-34-025052,0000041,17.4962511084,78.4156012275,485.73034668
09-00-34-085476,0000042,17.4962511001,78.4156012462,485.734008789
09-00-34-157031,0000043,17.4962510761,78.4156012667,485.728973389
09-00-34-224115,0000044,17.4962510825,78.4156012669,485.732940674
09-00-34-290597,0000045,17.4962510726,78.4156012647,485.729827881
09-00-34-357224,0000046,17.4962510475,78.4156012621,485.730407715
09-00-34-422015,0000047,17.4962510732,78.4156012748,485.729858398
09-00-34-487248,0000048,17.4962510608,78.4156012709,485.731964111
09-00-34-555218,0000049,17.4962510224,78.415601281,485.733551025
09-00-34-622134,0000050,17.4962509998,78.4156013141,485.73236084
09-00-34-686001,0000051,17.4962509593,78.4156012977,485.735168457
09-00-34-755497,0000052,17.4962508883,78.4156012882,485.73147583
09-00-34-822985,0000053,17.4962508657,78.4156013047,485.736846924
09-00-34-889548,0000054,17.496250795,78.415601275,485.734130859
09-00-34-954980,0000055,17.4962506667,78.4156012557,485.736907959
09-00-35-019684,0000056,17.4962506081,78.4156012579,485.73638916
09-00-35-090376,0000057,17.4962505124,78.4156012179,485.741027832
09-00-35-155653,0000058,17.496250307,78.4156011033,485.744140625
09-00-35-221412,0000059,17.4962501841,78.4156010842,485.74331665
09-00-35-289414,0000060,17.496250054,78.415601028,485.747467041
09-00-35-350850,0000061,17.4962498405,78.4156008989,485.745300293
09-00-35-422956,0000062,17.4962496668,78.4156008171,485.751098633
09-00-35-490192,0000063,17.4962495018,78.4156007419,485.749542236
09-00-35-554116,0000064,17.4962492242,78.4156005308,485.753997803
09-00-35-621240,0000065,17.4962491525,78.4156003881,485.754089355
09-00-35-688263,0000066,17.4962489611,78.4156002915,485.75869751
09-00-35-753706,0000067,17.4962486109,78.4155999841,485.76385498
09-00-35-819257,0000068,17.4962483832,78.4155998062,485.764892578
09-00-35-888738,0000069,17.4962481607,78.415599687,485.768829346
09-00-35-953920,0000070,17.4962477226,78.4155993584,485.767822266
09-00-36-021144,0000071,17.4962475428,78.4155990859,485.774414062
09-00-36-088030,0000072,17.4962472875,78.4155989384,485.772857666
09-00-36-154206,0000073,17.496246816,78.4155985509,485.780029297
09-00-36-224186,0000074,17.4962465296,78.4155983834,485.778503418
09-00-36-290308,0000075,17.4962462514,78.4155980547,485.786437988
09-00-36-351685,0000076,17.4962457163,78.4155975903,485.793334961
09-00-36-422101,0000077,17.4962453503,78.4155973734,485.791778564
09-00-36-489447,0000078,17.4962450246,78.4155969634,485.800415039
09-00-36-557520,0000079,17.4962442669,78.4155963261,485.802612305
09-00-36-619714,0000080,17.4962439271,78.4155959544,485.809387207
09-00-36-690965,0000081,17.4962434542,78.4155956578,485.809387207
09-00-36-754892,0000082,17.4962424527,78.4155951176,485.81161499
09-00-36-823618,0000083,17.4962419241,78.4155948298,485.8097229
09-00-36-885942,0000084,17.4962413554,78.4155944967,485.816070557
09-00-36-953415,0000085,17.4962402554,78.4155938215,485.822235107
09-00-37-021611,0000086,17.4962397173,78.4155934495,485.821044922
