timestamp,image_idx,latitude,longitude
2019-07-07 00:00:00,1000,17.528552,78.274611
2019-07-07 00:00:10,1001,17.417116,78.126225
2019-07-07 00:00:21,1002,17.457121,78.566894
2019-07-07 00:00:32,1003,17.514423,78.286225
2019-07-07 00:00:43,1004,17.58567,78.176807
2019-07-07 00:00:54,1005,17.457121,78.126225
2019-07-07 00:01:04,1006,17.544866,78.126225
2019-07-07 00:01:15,1007,17.528552,78.443493
2019-07-07 00:01:26,1008,17.540891,78.339247
2019-07-07 00:01:37,1009,17.372073,78.274611
2019-07-07 00:01:48,1010,17.528552,78.457475
2019-07-07 00:01:58,1011,17.514423,78.126225
2019-07-07 00:02:09,1012,17.514423,78.50866
2019-07-07 00:02:20,1013,17.58567,78.443493
2019-07-07 00:02:31,1014,17.544866,78.176807
2019-07-07 00:02:42,1015,17.417116,78.443493
2019-07-07 00:02:52,1016,17.58567,78.569297
2019-07-07 00:03:03,1017,17.58567,78.569297
2019-07-07 00:03:14,1018,17.372073,78.334361
2019-07-07 00:03:25,1019,17.393563,78.443493
2019-07-07 00:03:36,1020,17.544866,78.334361
2019-07-07 00:03:46,1021,17.429348,78.286225
2019-07-07 00:03:57,1022,17.58567,78.334361
2019-07-07 00:04:08,1023,17.460103,78.358528
2019-07-07 00:04:19,1024,17.349694,78.457475
2019-07-07 00:04:30,1025,17.393563,78.358528
2019-07-07 00:04:40,1026,17.429348,78.126225
2019-07-07 00:04:51,1027,17.460103,78.176807
2019-07-07 00:05:02,1028,17.544866,78.286225
2019-07-07 00:05:13,1029,17.470358,78.487001
2019-07-07 00:05:24,1030,17.460103,78.126225
2019-07-07 00:05:34,1031,17.540891,78.457475
2019-07-07 00:05:45,1032,17.393563,78.569297
2019-07-07 00:05:56,1033,17.457121,78.274611
2019-07-07 00:06:07,1034,17.460103,78.334361
2019-07-07 00:06:18,1035,17.527465,78.339247
2019-07-07 00:06:28,1036,17.470358,78.176807
2019-07-07 00:06:39,1037,17.514423,78.566894
2019-07-07 00:06:50,1038,17.514423,78.274611
2019-07-07 00:07:01,1039,17.540891,78.358528
2019-07-07 00:07:12,1040,17.460103,78.334361
2019-07-07 00:07:22,1041,17.460103,78.286225
2019-07-07 00:07:33,1042,17.349694,78.358528
